anemone.webp | Public domain | wikimedia | Anemone canadensis WFNY-067.jpg | https://commons.wikimedia.org/wiki/File:Anemone_canadensis_WFNY-067.jpg
hibiscus.webp | Public domain | wikimedia | Edwards's botanical register (Plate 28) (8610253970).jpg | https://commons.wikimedia.org/wiki/File:Edwards%27s_botanical_register_(Plate_28)_(8610253970).jpg
hibiscus_2.webp | Public domain | wikimedia | Hibiscus hamabo SZ93.png | https://commons.wikimedia.org/wiki/File:Hibiscus_hamabo_SZ93.png
hibiscus_3.webp | Public domain | wikimedia | Plantae Asiaticae Rariores - plate 004 - Hibiscus Lindlei.jpg | https://commons.wikimedia.org/wiki/File:Plantae_Asiaticae_Rariores_-_plate_004_-_Hibiscus_Lindlei.jpg
hibiscus_4.webp | Public domain | wikimedia | The Botanical Magazine, Plate 158 (Volume 5, 1792).png | https://commons.wikimedia.org/wiki/File:The_Botanical_Magazine,_Plate_158_(Volume_5,_1792).png
passionflower.webp | Public domain | wikimedia | Passiflora laurifolia Blanco2.414.png | https://commons.wikimedia.org/wiki/File:Passiflora_laurifolia_Blanco2.414.png
passionflower_2.webp | Public domain | wikimedia | Passiflora ligularis (1830).jpg | https://commons.wikimedia.org/wiki/File:Passiflora_ligularis_(1830).jpg
passionflower_3.webp | Public domain | wikimedia | Passiflora quadrangularisTurpin.jpg | https://commons.wikimedia.org/wiki/File:Passiflora_quadrangularisTurpin.jpg
camellia.webp | Public domain | wikimedia | Clara-Pope camellia-plate.jpg | https://commons.wikimedia.org/wiki/File:Clara-Pope_camellia-plate.jpg
camellia_2.webp | Public domain | wikimedia | Curtis's botanical magazine (Plate 2745) (8610033481).jpg | https://commons.wikimedia.org/wiki/File:Curtis%27s_botanical_magazine_(Plate_2745)_(8610033481).jpg
rose_illustration.webp | Public domain | wikimedia | Pierre-Joseph Redouté - Rosa Canina Burboniana.jpg | https://commons.wikimedia.org/wiki/File:Pierre-Joseph_Redout%C3%A9_-_Rosa_Canina_Burboniana.jpg
rose_illustration_2.webp | Public domain | wikimedia | Redoute-rosa inermis.jpg | https://commons.wikimedia.org/wiki/File:Redoute-rosa_inermis.jpg
rose_illustration_3.webp | Public domain | wikimedia | Redoute - Rosa centifolia foliacea.jpg | https://commons.wikimedia.org/wiki/File:Redoute_-_Rosa_centifolia_foliacea.jpg
rose_illustration_4.webp | Public domain | wikimedia | Redoute - Rosa gallica flore giganteo - brighter.jpg | https://commons.wikimedia.org/wiki/File:Redoute_-_Rosa_gallica_flore_giganteo_-_brighter.jpg
mushroom.webp | Public domain | wikimedia | Calocybe gambosa, James Sowerby, 1803.jpg | https://commons.wikimedia.org/wiki/File:Calocybe_gambosa,_James_Sowerby,_1803.jpg
mushroom_2.webp | Public domain | wikimedia | Coloured Figures of English Fungi or Mushrooms - t. 121.jpg | https://commons.wikimedia.org/wiki/File:Coloured_Figures_of_English_Fungi_or_Mushrooms_-_t._121.jpg
mushroom_3.webp | Public domain | wikimedia | Coloured Figures of English Fungi or Mushrooms - t. 135.jpg | https://commons.wikimedia.org/wiki/File:Coloured_Figures_of_English_Fungi_or_Mushrooms_-_t._135.jpg
mushroom_4.webp | Public domain | wikimedia | Coloured Figures of English Fungi or Mushrooms - t. 187-rearranged.jpg | https://commons.wikimedia.org/wiki/File:Coloured_Figures_of_English_Fungi_or_Mushrooms_-_t._187-rearranged.jpg
