
# --- added by sourcing run 2026-07-20 ---
mallet.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3358489/free-illustration-image-antique-art-artwork
scissors_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6812978/image-vintage-public-domain-black
scissors_3.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6488381/png-sticker-vintage
screwdriver_3.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6329846/png-sticker-public-domain
sewing_machine.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/8232128/sewing-machine-ca1940-harold-oldfield
sewing_machine_2.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3337500/free-photo-image-sewing-appliance-vintage
sewing_machine_3.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/3370339/free-illustration-image-antique-art-artwork
shears_3.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/9265959/scissors-unidentified-maker
shovel_2.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Shovel_(PSF).png
strigil.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/14247143/strigil
sledgehammer.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/5942050/free-public-domain-cc0-photo
garden_trowel.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/6870551/png-sticker-public-domain
tape_measure.webp | CC0 1.0 | Openverse/rawpixel | https://www.rawpixel.com/image/5921621/free-tape-measure-public-domain-cc0-photo
vise_3.webp | Public domain | Wikimedia Commons | https://commons.wikimedia.org/wiki/File:Vise_(PSF).png
